ANNOSCOLASTICO,PROVINCIA,ORDINESCUOLA,TIPOPOSTO,FASCIAETA,DOCENTITITOLARIMASCHI,DOCENTITITOLARIFEMMINE
201617,BELLUNO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,3,4
201617,LA SPEZIA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,16,87
201617,PADOVA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,42,965
201617,VENEZIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,22,49
201617,ASTI,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,8,12
201617,CATANZARO,SCUOLA INFANZIA,NORMALE,FINO A 34,0,6
201617,REGGIO EMILIA,SCUOLA PRIMARIA,NORMALE,FINO A 34,2,63
201617,LA SPEZIA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,5
201617,COMO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,64
201617,LATINA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,123,389
201617,COSENZA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,29,842
201617,LATINA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,39,104
201617,ANCONA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,18
201617,VIBO VALENTIA,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,8
201617,PORDENONE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,8,34
201617,CHIETI,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,28
201617,OLBIA-TEMPIO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,11,74
201617,MASSA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,71
201617,CARBONIA-IGLESIAS,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,0,1
201617,TERAMO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,0,42
201617,MILANO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,62,104
201617,RIMINI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,7,14
201617,LUCCA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,1
201617,LECCO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,34,245
201617,ASCOLI PICENO,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,47,144
201617,TRIESTE,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,57
201617,CROTONE,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,1
201617,GROSSETO,SCUOLA INFANZIA,NORMALE,FINO A 34,0,3
201617,POTENZA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,389
201617,CAGLIARI,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,593,934
201617,BARLETTA-ADRIA-TRANI,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,54
201617,VENEZIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,3
201617,PORDENONE,SCUOLA INFANZIA,NORMALE,FINO A 34,0,1
201617,PESCARA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,7,39
201617,VITERBO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,4,44
201617,VARESE,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,31,1089
201617,PADOVA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,5
201617,CREMONA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,13,498
201617,ISERNIA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,4
201617,COMO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,20,782
201617,AGRIGENTO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,4
201617,ASTI,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,7,153
201617,FORLI'-CESENA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,10
201617,CHIETI,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,20
201617,LA SPEZIA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,4
201617,NAPOLI,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,31,478
201617,LIVORNO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,5,406
201617,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,25,120
201617,RIMINI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,9,23
201617,CUNEO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,1,52
201617,PERUGIA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,9
201617,MESSINA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,3
201617,CALTANISSETTA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,15,16
201617,GORIZIA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,36
201617,LATINA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,18,44
201617,VICENZA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,139,586
201617,GENOVA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,4,106
201617,RIETI,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,131
201617,ROVIGO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,23,62
201617,CATANIA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,884,1362
201617,VICENZA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,1,341
201617,PESARO E URBINO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,20
201617,MILANO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,52,185
201617,ROMA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,2280,4744
201617,PERUGIA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,119,514
201617,GROSSETO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,11,17
201617,BRINDISI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,19,40
201617,TRAPANI,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,15
201617,PADOVA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,300,680
201617,MANTOVA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,2
201617,ENNA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,14,229
201617,TRIESTE,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,26
201617,COMO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,5,25
201617,ALESSANDRIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,3
201617,CAMPOBASSO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,3
201617,MATERA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,7
201617,FIRENZE,SCUOLA INFANZIA,NORMALE,OLTRE 54,2,438
201617,VIBO VALENTIA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,67,188
201617,PISA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,4,176
201617,LECCE,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,9,160
201617,OGLIASTRA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,49
201617,LODI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,9,26
201617,FERMO,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,6
201617,SAVONA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,34,139
201617,VERONA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,2,170
201617,FROSINONE,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,11,19
201617,NUORO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,1,1
201617,MACERATA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,21
201617,PAVIA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,12
201617,BIELLA,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,18
201617,CREMONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,4,16
201617,CATANZARO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,87
201617,CROTONE,SCUOLA INFANZIA,NORMALE,OLTRE 54,2,227
201617,VENEZIA,SCUOLA PRIMARIA,NORMALE,FINO A 34,3,89
201617,CATANIA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,8,661
201617,BARLETTA-ADRIA-TRANI,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,7
201617,GORIZIA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,87
201617,LECCE,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,185
201617,TARANTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,2,4
201617,PESARO E URBINO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,14
201617,SIENA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,23
201617,BRESCIA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,65,1860
201617,FOGGIA,SCUOLA INFANZIA,NORMALE,OLTRE 54,4,498
201617,MATERA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,104,220
201617,MEDIO-CAMPITANO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,6
201617,SASSARI,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,70,266
201617,VENEZIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,3,88
201617,TRIESTE,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,24
201617,CUNEO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,1,3
201617,SALERNO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,4,44
201617,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,35,97
201617,PARMA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,7,22
201617,CASERTA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,239,794
201617,AGRIGENTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,11,24
201617,ANCONA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,32,173
201617,PORDENONE,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,2,54
201617,CROTONE,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,45
201617,PIACENZA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,4,26
201617,CREMONA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,8,21
201617,MONZA E BRIANZA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,5
201617,AREZZO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,9
201617,LODI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,5,9
201617,AVELLINO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,75,184
201617,LECCO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,7
201617,ORISTANO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,20
201617,VERCELLI,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,1
201617,PADOVA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,12,46
201617,VENEZIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,4
201617,RIMINI,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,5
201617,BRINDISI,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,2,42
201617,GROSSETO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,9
201617,COMO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,49,308
201617,CATANZARO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,13
201617,TERNI,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,25,126
201617,MESSINA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,14,4
201617,SALERNO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,22
201617,CALTANISSETTA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,3,90
201617,MASSA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,5,7
201617,LECCE,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,22
201617,CROTONE,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,9
201617,FROSINONE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,37,124
201617,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,42,191
201617,PALERMO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,145,480
201617,UDINE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,15,33
201617,PISA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,2,81
201617,PORDENONE,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,77
201617,FIRENZE,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,158,540
201617,SAVONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,11,21
201617,GORIZIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,1,4
201617,SIRACUSA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,83,297
201617,FOGGIA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,2,24
201617,CREMONA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,125,297
201617,ROMA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,18,906
201617,LIVORNO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,14,30
201617,BIELLA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,2,21
201617,OGLIASTRA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,1
201617,ROVIGO,SCUOLA INFANZIA,NORMALE,FINO A 34,0,1
201617,TORINO,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,116,1971
201617,PIACENZA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,81,260
201617,VERCELLI,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,43,82
201617,TARANTO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,4,143
201617,TRAPANI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,9,35
201617,CATANIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,26,17
201617,VICENZA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,204,521
201617,NOVARA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,27
201617,PESARO E URBINO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,6,7
201617,ENNA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,3,1
201617,BERGAMO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,44,1731
201617,FIRENZE,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,6
201617,SONDRIO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,3,13
201617,VENEZIA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,72,380
201617,POTENZA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,44,147
201617,MODENA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,68,304
201617,PESARO E URBINO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,10,45
201617,TERAMO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,69,124
201617,SONDRIO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,6,17
201617,MESSINA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,5,172
201617,BENEVENTO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,10,24
201617,FROSINONE,SCUOLA INFANZIA,NORMALE,FINO A 34,0,9
201617,RAGUSA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,1,0
201617,RIMINI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,6,32
201617,BRINDISI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,1
201617,CATANIA,SCUOLA INFANZIA,NORMALE,OLTRE 54,2,648
201617,ASCOLI PICENO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,7
201617,GROSSETO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,4,16
201617,ALESSANDRIA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,17,298
201617,ALESSANDRIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,2
201617,MODENA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,4
201617,CROTONE,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,1,13
201617,TARANTO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,105,244
201617,CREMONA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,4
201617,BARI,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,870
201617,PISTOIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,1
201617,AREZZO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,90,179
201617,FERRARA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,38,148
201617,SALERNO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,60,173
201617,SONDRIO,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,41,98
201617,SASSARI,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,5,214
201617,CUNEO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,26,72
201617,TERAMO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,7,15
201617,BOLOGNA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,8,135
201617,GORIZIA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,16,106
201617,FORLI'-CESENA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,167
201617,ROVIGO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,8,17
201617,BOLOGNA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,3,9
201617,MACERATA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,32
201617,PAVIA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,7
201617,AGRIGENTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,48,60
201617,PALERMO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,75,175
201617,BERGAMO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,13,21
201617,PIACENZA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,4,10
201617,VERCELLI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,10,21
201617,AVELLINO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,2,16
201617,L'AQUILA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,11
201617,TORINO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,53,88
201617,CAGLIARI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,46,72
201617,FERRARA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,3,4
201617,LODI,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,84
201617,PERUGIA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,43,226
201617,RAVENNA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,13,350
201617,GENOVA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,97,468
201617,PIACENZA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,84
201617,CREMONA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,6
201617,ISERNIA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,21,63
201617,PADOVA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,28,772
201617,CROTONE,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,5,3
201617,ASTI,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,0,12
201617,COMO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,8
201617,ALESSANDRIA,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,161
201617,NAPOLI,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,2365,4358
201617,VERCELLI,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,58,167
201617,TARANTO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,4,84
201617,CASERTA,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,764
201617,NOVARA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,113,297
201617,TORINO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,118,3043
201617,UDINE,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,11
201617,ENNA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,18
201617,BENEVENTO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,16
201617,ASCOLI PICENO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,8,42
201617,BERGAMO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,27,32
201617,FIRENZE,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,34,89
201617,SIENA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,2
201617,ASTI,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,3
201617,LATINA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,2,5
201617,ANCONA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,6,49
201617,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,53,284
201617,COSENZA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,0
201617,ANCONA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,5,2
201617,GORIZIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,52,137
201617,LECCO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,2,2
201617,RIETI,SCUOLA PRIMARIA,NORMALE,OLTRE 54,12,261
201617,BRINDISI,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,83,189
201617,CATANZARO,SCUOLA PRIMARIA,NORMALE,FINO A 34,1,19
201617,ROVIGO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,3
201617,PALERMO,SCUOLA PRIMARIA,NORMALE,FINO A 34,5,45
201617,SASSARI,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,14,243
201617,PISA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,5,30
201617,ISERNIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,2
201617,CREMONA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,2,88
201617,MASSA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,5,11
201617,VITERBO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,23
201617,BARLETTA-ADRIA-TRANI,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,63
201617,ISERNIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,0,16
201617,CHIETI,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,6,95
201617,TARANTO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,63,297
201617,AVELLINO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,29,101
201617,CARBONIA-IGLESIAS,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,128,129
201617,GENOVA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,18,49
201617,VERBANO-CUSIO-OSSOLA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,3,125
201617,LIVORNO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,1
201617,OGLIASTRA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,3,2
201617,RIETI,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,80
201617,MACERATA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,7
201617,VENEZIA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,356
201617,CUNEO,SCUOLA INFANZIA,NORMALE,FINO A 34,1,24
201617,BOLOGNA,SCUOLA INFANZIA,NORMALE,FINO A 34,1,28
201617,LECCO,SCUOLA PRIMARIA,NORMALE,OLTRE 54,10,432
201617,RIETI,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,9
201617,MESSINA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,25
201617,REGGIO CALABRIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,31,68
201617,CASERTA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,22,25
201617,CAMPOBASSO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,19
201617,NOVARA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,133
201617,VITERBO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,6,8
201617,TERAMO,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,257
201617,PESARO E URBINO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,10,65
201617,TRAPANI,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,11
201617,LIVORNO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,39,160
201617,SIRACUSA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,147
201617,OGLIASTRA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,80
201617,NUORO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,113,171
201617,FERRARA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,9,32
201617,ENNA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,4,21
201617,LECCO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,131
201617,PIACENZA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,5,20
201617,CATANZARO,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,501
201617,L'AQUILA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,11
201617,ANCONA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,10,431
201617,RAGUSA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,103,236
201617,POTENZA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,15,555
